|      designation|        ra|       dec|r_k20fe|j_m_k20fe|j_msig_k20fe|j_flg_k20fe|h_m_k20fe|h_msig_k20fe|h_flg_k20fe|k_m_k20fe|k_msig_k20fe|k_flg_k20fe| k_ba|k_phi|sup_ba|sup_phi|  r_ext|j_m_ext|j_msig_ext|h_m_ext|h_msig_ext|k_m_ext|k_msig_ext|cc_flg|
|             char|    double|    double| double|   double|      double|        int|   double|      double|        int|   double|      double|        int|doubl|  int|double|    int| double| double|    double| double|    double| double|    double|  char|
|                 |       deg|       deg| arcsec|      mag|         mag|           |      mag|         mag|           |      mag|         mag|           |     |  deg|      |    deg| arcsec|    mag|       mag|    mag|       mag|    mag|       mag|      |
04340485+2350390    68.520241  23.844177     7.8    15.301        0.181           0    14.273        0.190           0    13.505        0.134           0 1.000    90  1.000      90   16.49  14.982      0.268  14.043      0.305  13.164      0.191 0      
04353535+2408194    68.897331  24.138729    40.5      null         null        null    11.678        0.108           0    10.132        0.046           0 0.460    35  0.500      35   75.97  16.122      0.337  11.504      0.148   9.826      0.046 0      
04345428+2351067    68.726196  23.851864     5.1    15.203        0.089           0    14.402        0.110           0    13.751        0.105           0 1.000    90  1.000      90    8.49  14.838      0.113  14.281      0.177  13.672      0.173 0      
04341841+2406078    68.576744  24.102169    11.8    13.760        0.067           0    12.693        0.073           0    12.057        0.070           0 0.780    30  0.780      40   35.36  13.523      0.136  12.586      0.157  11.585      0.090 0      
04300787+2404098    67.532799  24.069391     8.0    14.939        0.084           0    13.903        0.086           0    13.404        0.086           0 0.500    50  0.640      50   17.83  14.772      0.134  13.441      0.106  13.206      0.129 0      
04292653+2408436    67.360550  24.145466     5.2    15.419        0.116           0    14.417        0.125           0    13.801        0.108           0 1.000    90  1.000      90    9.49  15.030      0.144  14.417      0.125  13.573      0.158 0      
04292557+2406406    67.356583  24.111300     8.2    14.750        0.087           3    13.952        0.106           3    13.429        0.103           3 0.680   -65  0.880      90   20.30  14.153      0.098  13.900      0.217  13.062      0.148 0      
04315960+2350453    67.998360  23.845936     5.0    15.197        0.091           1    14.514        0.135           1    13.804        0.091           1 1.000    90  1.000      90   10.05  14.905      0.129  14.452      0.234  13.751      0.161 0      
04320200+2345273    68.008369  23.757601     8.6    13.996        0.052           0    13.276        0.072           0    12.831        0.067           0 0.680     0  0.640     -10   16.81  13.868      0.071  13.065      0.094  12.701      0.089 0      
04313696+2342478    67.904022  23.713293     5.0    15.413        0.138           0      null         null        null    14.087        0.157           0 1.000    90  1.000      90   10.05  15.338      0.238  14.682      0.000  13.924      0.250 0      
04310708+2355014    67.779518  23.917063     5.0    16.135        0.218           0    15.233        0.244           0    14.573        0.209           0 1.000    90  1.000      90   10.05  15.660      0.310  14.616      0.281  14.260      0.302 0      
04305663+2353471    67.735970  23.896439     5.6    15.035        0.070           0    14.116        0.071           0    13.631        0.083           0 0.660   -50  0.660     -50   11.01  14.881      0.109  13.969      0.112  13.498      0.132 0      
04305869+2403211    67.744553  24.055878     8.2    15.555        0.126           5    14.443        0.117           5    13.935        0.115           5 0.368   -40  0.300     -40   13.88  15.453      0.248  14.443      0.117  13.622      0.261 0      
04312490+2345557    67.853775  23.765486     6.4    14.106        0.047           0    13.078        0.045           0    12.753        0.064           0 0.920    -5  0.460     -20   11.70  13.954      0.065  12.826      0.053  12.656      0.083 0      
04312811+2350477    67.867142  23.846594     5.7    15.727        0.126           0    14.883        0.135           0    14.153        0.125           0 0.564    30  0.564      30   11.16  15.591      0.212  14.814      0.239  13.997      0.201 0      
04313010+2349468    67.875443  23.829672     5.0    15.173        0.110           0    14.230        0.118           0    13.763        0.117           0 1.000    90  1.000      90   10.05  14.700      0.131  13.850      0.152  13.481      0.169 0      
04320777+2343350    68.032379  23.726414     5.0    15.131        0.106           3    14.238        0.115           1    13.966        0.140           3 1.000    90  1.000      90   10.05  15.125      0.191  14.238      0.115  13.880      0.235 0      
04310245+2352076    67.760223  23.868788     5.0      null         null        null    14.957        0.168           0    14.213        0.154           0 1.000    90  1.000      90   11.40  15.847      0.229  14.745      0.264  14.001      0.240 0      
04304576+2406251    67.690704  24.106974     5.0    15.354        0.106           3    13.993        0.078           3    13.806        0.103           3 1.000    90  1.000      90   10.05  15.330      0.190  13.820      0.121  13.770      0.184 0      
04303817+2407341    67.659065  24.126152     5.7    15.609        0.154           0    14.786        0.185           0    14.012        0.143           0 1.000    90  1.000      90   11.00  15.321      0.217  14.506      0.263  13.645      0.186 0      
04334011+2353459    68.417152  23.896090     5.0    15.517        0.128           3    14.680        0.161           3    14.120        0.142           3 1.000    90  1.000      90   10.05  15.170      0.171  14.469      0.243  13.989      0.233 0      
04334945+2358019    68.456047  23.967203     5.0    14.587        0.059           1    14.130        0.097           1    13.667        0.093           1 1.000    90  1.000      90   10.05  14.419      0.085  14.130      0.097  13.521      0.149 0      
04332895+2359564    68.370651  23.999020     5.4    15.733        0.169           0      null         null        null    13.858        0.120           0 1.000    90  1.000      90   10.44  15.311      0.210  14.659      0.000  13.534      0.164 0      
04331416+2348559    68.309021  23.815554     6.3    15.160        0.097           0    14.274        0.112           0    13.677        0.096           0 0.600    90  0.560     -75   12.86  14.882      0.138  14.073      0.174  13.545      0.159 0      
